Antartic.Year,Antarctic.Temp
19981,-9.81
20029,-9.4
20076,-9.04
20122,-9.46
20168,-8.71
20213,-9.79
20260,-9.22
20307,-9.53
20354,-9.69
20402,-9.72
20451,-10.18
20500,-8.92
20546,-8.83
20591,-9.31
20637,-9.49
20685,-9.65
20733,-9.64
20781,-9.03
20826,-9.36
20873,-9.41
20920,-9.47
20968,-9.39
21015,-10.14
21065,-9.25
21112,-9.52
21159,-8.74
21205,-9.06
21251,-10.02
21300,-10.04
21350,-9.2
21396,-8.59
21440,-7.92
21485,-10.1
21532,-9.71
21581,-8.9
21628,-9.64
21676,-10.12
21726,-9.57
21774,-8.96
21820,-8.72
21865,-8.47
21909,-9.42
21957,-9.14
22003,-9.6
22052,-9.45
22100,-9.82
22149,-9.98
22200,-9.67
22249,-8.81
22294,-10.04
22345,-9.91
22395,-8.36
22439,-9.14
22486,-9.41
22533,-8.74
22579,-9.22
22627,-9.92
22676,-9
22724,-9.98
22773,-9.36
22822,-9.62
22871,-9.39
22919,-9.73
22968,-9.55
23017,-9.11
23064,-8.43
23109,-8.84
23154,-8.23
23199,-8.99
23245,-9.19
23292,-8.79
23339,-10.25
23390,-9.36
23438,-8.95
23485,-9.28
23533,-8.69
23579,-8.88
23625,-9.05
23672,-8.64
23718,-8.95
23765,-9.29
23813,-9.36
23862,-10.39
23914,-9.95
23966,-9.62
24015,-9.52
24065,-10.58
24119,-9.68
24169,-9.4
24218,-9.05
24266,-9
24313,-9.76
24364,-9.33
24413,-10.07
24465,-10.1
24517,-7.98
24561,-8.99
24608,-9.9
24659,-10.21
24712,-10.06
24764,-9.96
24816,-9.89
24868,-9.54
24918,-9.84
24969,-9.39
25019,-9.83
25070,-9.95
25122,-9.83
25173,-9.35
25223,-9.35
25273,-10.21
25326,-10.48
25380,-10.32
25434,-9.54
25485,-9.87
25537,-9.84
25588,-9.67
25639,-9.54
25690,-9.3
25740,-10.19
25793,-10.02
25845,-9.53
25897,-10.47
25950,-8.93
26000,-9.61
26050,-10.2
26103,-8.98
26153,-9.85
26204,-9.96
26257,-9.17
26307,-10.4
26361,-9.96
26414,-9.02
26463,-9.94
26515,-9.34
26566,-9.59
26617,-9.96
26670,-10.19
26724,-10.11
26777,-9.05
26827,-9.48
26878,-9.72
26930,-10.13
26983,-9.59
27035,-9.75
27087,-9.7
27140,-9.93
27192,-9.22
27242,-8.79
27290,-8.28
27337,-8.84
27383,-6.91
27427,-9.25
27475,-9.03
27525,-8.69
27573,-10.51
27628,-9.14
27678,-7.86
27723,-7.71
27767,-8.61
27815,-8.94
27864,-9.4
27914,-8.38
27962,-8.81
28011,-9.87
28064,-10.22
28118,-9.15
28169,-9.42
28220,-9.93
28274,-9.42
28325,-8.71
28374,-8.89
28423,-8.2
28469,-7.84
28515,-8.69
28562,-8.61
28610,-8.59
28658,-8.87
28708,-9.46
28759,-9.14
28809,-8.91
28859,-9.27
28909,-8.35
28958,-8.88
29006,-8.28
29054,-8.72
29102,-8.26
29149,-8.1
29195,-8.23
29242,-7.39
29286,-8.6
29333,-7.55
29378,-7.93
29425,-9.42
29475,-8.88
29524,-8.42
29573,-8.35
29620,-8.42
29668,-8.33
29715,-7.82
29761,-8.36
29808,-8.9
29858,-9.82
29912,-9.44
29965,-9.38
30017,-9.85
30070,-8.4
30121,-10.03
30174,-9.25
30227,-9.19
30277,-8.31
30327,-9.94
30380,-8.61
30430,-9.06
30481,-9.19
30533,-9.19
30584,-9.29
30636,-8.88
30687,-8.88
30737,-8.87
30788,-8.87
30838,-8.87
30887,-7.57
30934,-8.69
30983,-8.77
31033,-8.52
31082,-9.51
31135,-9.93
31191,-9.29
31244,-9.47
31297,-10.04
31353,-9.42
31406,-8.91
31458,-9.07
31509,-8.9
31561,-9.87
31614,-8.92
31668,-10.36
31723,-9.19
31775,-7.5
31823,-8.3
31871,-8.88
31921,-8.5
31969,-7.07
32015,-8.12
32062,-6.9
32105,-8.4
32154,-8.64
32204,-8.31
32253,-8.81
32303,-8.2
32352,-8.38
32400,-7.78
32449,-9.02
32498,-7.95
32546,-8.09
32595,-9.16
32648,-9.77
32702,-9.46
32757,-9.31
32811,-9.88
32866,-9.24
32919,-8.59
32971,-9.25
33023,-8.74
33074,-8.18
33123,-8.03
33171,-7.93
33218,-7.53
33265,-8.06
33312,-7.76
33359,-7.48
33405,-8.3
33454,-8.06
33503,-8.47
33552,-8.14
33601,-8.12
33649,-7.72
33698,-9.32
33749,-8.1
33800,-8.77
33851,-9.53
33906,-9.53
33961,-9.53
34016,-9.52
34071,-9.52
34127,-9.16
34180,-8.53
