Species	Balaenoptera acutorostrata			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	322			
No. of DNA sequences	952			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	Pastene, L. A., Goto, M., Kanda, N., Zerbini, A. N., Kerem, D., Watanabe, K., … Palsbøll, P. J. (2007). Radiation and speciation of pelagic organisms during periods of global warming: The case of the common minke whale, Balaenoptera acutorostrata. Molecular Ecology, 16(7), 1481–1495. doi: 10.1111/j.1365-294X.2007.03244.x	Brazil	Winter breeding area	GenBank
2	This study	Eastern Canadian seaborder, West Greenland, Iceland, Barents Sea, Central and eeastern North	Summer feeding areas 	
				
Migrate data file name	Bacutorostrata_954mtDNA_322bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bacu1721	North	2		
Bacu1722	North	2		
Bacu1723	North	2		
Bacu1724	North	2		
Bacu1725	North	2		
Bacu1726	North	2		
Bacu1727	North	2		
Bacu1728	North	2		
Bacu1729	North	2		
Bacu1730	North	2		
Bacu1731	North	2		
Bacu1732	North	2		
Bacu1733	North	2		
Bacu1734	North	2		
Bacu1735	North	2		
Bacu1736	North	2		
Bacu1737	North	2		
Bacu1738	North	2		
Bacu1739	North	2		
Bacu1740	North	2		
Bacu1741	North	2		
Bacu1742	North	2		
Bacu1743	North	2		
Bacu1744	North	2		
Bacu1745	North	2		
Bacu1746	North	2		
Bacu1747	North	2		
Bacu1748	North	2		
Bacu1749	North	2		
Bacu1750	North	2		
Bacu1751	North	2		
Bacu1752	North	2		
Bacu1753	North	2		
Bacu1754	North	2		
Bacu1755	North	2		
Bacu1756	North	2		
Bacu1757	North	2		
Bacu1758	North	2		
Bacu1759	North	2		
Bacu1760	North	2		
Bacu1761	North	2		
Bacu1762	North	2		
Bacu1763	North	2		
Bacu1764	North	2		
Bacu1765	North	2		
Bacu1766	North	2		
Bacu1767	North	2		
Bacu1768	North	2		
Bacu1769	North	2		
Bacu1770	North	2		
Bacu1771	North	2		
Bacu1772	North	2		
Bacu1773	North	2		
Bacu1774	North	2		
Bacu1775	North	2		
Bacu1776	North	2		
Bacu1777	North	2		
Bacu1778	North	2		
Bacu1779	North	2		
Bacu1780	North	2		
Bacu1781	North	2		
Bacu1782	North	2		
Bacu1783	North	2		
Bacu1784	North	2		
Bacu1785	North	2		
Bacu1786	North	2		
Bacu1787	North	2		
Bacu1788	North	2		
Bacu1789	North	2		
Bacu1790	North	2		
Bacu1791	North	2		
Bacu1792	North	2		
Bacu1793	North	2		
Bacu1794	North	2		
Bacu1795	North	2		
Bacu1796	North	2		
Bacu1797	North	2		
Bacu1798	North	2		
Bacu1799	North	2		
Bacu1800	North	2		
Bacu1801	North	2		
Bacu1802	North	2		
Bacu1803	North	2		
Bacu1804	North	2		
Bacu1805	North	2		
Bacu1806	North	2		
Bacu1807	North	2		
Bacu1808	North	2		
Bacu1809	North	2		
Bacu1810	North	2		
Bacu1811	North	2		
Bacu1812	North	2		
Bacu1813	North	2		
Bacu1814	North	2		
Bacu1815	North	2		
Bacu1816	North	2		
Bacu1817	North	2		
Bacu1818	North	2		
Bacu1819	North	2		
Bacu1820	North	2		
Bacu1821	North	2		
Bacu1822	North	2		
Bacu1823	North	2		
Bacu1824	North	2		
Bacu1825	North	2		
Bacu1826	North	2		
Bacu1827	North	2		
Bacu1828	North	2		
Bacu1834	North	2		
Bacu1835	North	2		
Bacu1836	North	2		
Bacu1837	North	2		
Bacu1838	North	2		
Bacu1839	North	2		
Bacu1840	North	2		
Bacu1841	North	2		
Bacu1842	North	2		
Bacu1843	North	2		
Bacu1844	North	2		
Bacu1845	North	2		
Bacu1846	North	2		
Bacu1847	North	2		
Bacu1848	North	2		
Bacu1849	North	2		
Bacu1850	North	2		
Bacu1851	North	2		
Bacu1852	North	2		
Bacu1853	North	2		
Bacu1854	North	2		
Bacu1855	North	2		
Bacu1856	North	2		
Bacu1857	North	2		
Bacu1858	North	2		
Bacu1859	North	2		
Bacu1860	North	2		
Bacu1861	North	2		
Bacu1862	North	2		
Bacu1863	North	2		
Bacu1864	North	2		
Bacu1865	North	2		
Bacu1866	North	2		
Bacu1867	North	2		
Bacu1868	North	2		
Bacu1869	North	2		
Bacu1870	North	2		
Bacu1871	North	2		
Bacu1872	North	2		
Bacu1873	North	2		
Bacu1874	North	2		
Bacu1875	North	2		
Bacu1876	North	2		
Bacu1877	North	2		
Bacu1878	North	2		
Bacu1879	North	2		
Bacu1880	North	2		
Bacu1881	North	2		
Bacu1882	North	2		
Bacu1883	North	2		
Bacu1884	North	2		
Bacu1885	North	2		
Bacu1886	North	2		
Bacu1887	North	2		
Bacu1888	North	2		
Bacu1889	North	2		
Bacu1890	North	2		
Bacu1891	North	2		
Bacu1892	North	2		
Bacu1893	North	2		
Bacu1894	North	2		
Bacu1895	North	2		
Bacu1896	North	2		
Bacu1897	North	2		
Bacu1898	North	2		
Bacu1899	North	2		
Bacu1900	North	2		
Bacu1901	North	2		
Bacu1902	North	2		
Bacu1903	North	2		
Bacu1904	North	2		
Bacu1905	North	2		
Bacu1906	North	2		
Bacu1907	North	2		
Bacu1908	North	2		
Bacu1909	North	2		
Bacu1910	North	2		
Bacu1911	North	2		
Bacu1912	North	2		
Bacu1913	North	2		
Bacu1914	North	2		
Bacu1915	North	2		
Bacu1916	North	2		
Bacu1917	North	2		
Bacu1918	North	2		
Bacu1919	North	2		
Bacu1920	North	2		
Bacu1921	North	2		
Bacu1922	North	2		
Bacu1923	North	2		
Bacu1924	North	2		
Bacu1925	North	2		
Bacu1926	North	2		
Bacu1927	North	2		
Bacu1928	North	2		
Bacu1929	North	2		
Bacu1930	North	2		
Bacu1931	North	2		
Bacu1932	North	2		
Bacu1933	North	2		
Bacu1934	North	2		
Bacu1935	North	2		
Bacu1936	North	2		
Bacu1937	North	2		
Bacu1938	North	2		
Bacu1939	North	2		
Bacu1940	North	2		
Bacu1941	North	2		
Bacu1942	North	2		
Bacu1943	North	2		
Bacu1944	North	2		
Bacu1945	North	2		
Bacu1946	North	2		
Bacu1947	North	2		
Bacu1948	North	2		
Bacu1949	North	2		
Bacu1950	North	2		
Bacu1951	North	2		
Bacu1952	North	2		
Bacu1953	North	2		
Bacu1954	North	2		
Bacu1955	North	2		
Bacu1956	North	2		
Bacu1957	North	2		
Bacu1958	North	2		
Bacu1959	North	2		
Bacu1960	North	2		
Bacu1961	North	2		
Bacu1962	North	2		
Bacu1963	North	2		
Bacu1964	North	2		
Bacu1965	North	2		
Bacu1966	North	2		
Bacu1967	North	2		
Bacu1968	North	2		
Bacu1969	North	2		
Bacu1970	North	2		
Bacu1971	North	2		
Bacu1972	North	2		
Bacu1973	North	2		
Bacu1974	North	2		
Bacu1975	North	2		
Bacu1976	North	2		
Bacu1977	North	2		
Bacu1978	North	2		
Bacu1979	North	2		
Bacu1980	North	2		
Bacu1981	North	2		
Bacu1982	North	2		
Bacu1983	North	2		
Bacu1984	North	2		
Bacu1985	North	2		
Bacu1986	North	2		
Bacu1987	North	2		
