Species	Megaptera novaeangliae			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	1586			
No. of DNA sequences	396			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Jackson, J. A., Steel, D. J., Beerli, P., Congdon, B. C., Olavarria, C., Leslie, M. S., … Baker, C. S. (2014). Global diversity and oceanic divergence of humpback whales (\emph{Megaptera novaeangliae}). Proceedings of the Royal Society of London B Biological Sciences, 281(1786), 20133222. doi: 10.1098/rspb.2013.3222	South Atlantic Ocean	Winter breeding grounds	Dr. Jennifer Jackson, Personal communication 
2	This study	western North Atlantic Ocean	Winter breeding ground	
				
Migrate data file name	Mnovaeanliae_1586mtDNA_396bp_20170902_Migrate_2pop.txt			
Results figure(s)	4, S1 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Mnov1928	South	1		SP71_3
Mnov1929	South	1		SP71_4
Mnov1930	South	1		SP71_5
Mnov1931	South	1		SP71_6
Mnov1932	South	1		SP71_7
Mnov1933	South	1		SP71_8
Mnov1934	South	1		SP71_9
Mnov1935	South	1		SP71_10
Mnov1936	South	1		SP71_11
Mnov1937	South	1		SP71_12
Mnov1938	South	1		SP71_13
Mnov1939	South	1		SP71_14
Mnov1940	South	1		SP71_15
Mnov1941	South	1		SP71_16
Mnov1942	South	1		SP71_17
Mnov1943	South	1		SP71_18
Mnov1944	South	1		SP71_19
Mnov1945	South	1		SP71_20
Mnov1946	South	1		SP71_21
Mnov1947	South	1		SP71_22
Mnov1948	South	1		SP71_23
Mnov1949	South	1		SP71_24
Mnov1950	South	1		SP75_1
Mnov1951	South	1		SP75_2
Mnov1952	South	1		SP75_3
Mnov1953	South	1		SP75_4
Mnov1954	South	1		SP75_5
Mnov1955	South	1		SP75_6
Mnov1956	South	1		SP75_7
Mnov1957	South	1		SP75_8
Mnov1958	South	1		SP75_9
Mnov1959	South	1		SP75_10
Mnov1960	South	1		SP76_1
Mnov1961	South	1		SP76_2
Mnov1962	South	1		SP76_3
Mnov1963	South	1		SP79_1
Mnov1964	South	1		SP80_1
Mnov1965	South	1		SP81_1
Mnov1966	South	1		SP81_2
Mnov1967	South	1		SP81_3
Mnov1968	South	1		SP83_1
Mnov1969	South	1		SP84_1
Mnov1970	South	1		SP91_1
Mnov1971	South	1		SP91_2
Mnov1972	South	1		SP91_3
Mnov1973	South	1		SP91_4
Mnov1974	South	1		SP91_5
Mnov1975	South	1		SP93_1
Mnov1976	South	1		SP94_1
Mnov1977	South	1		SP94_2
Mnov1978	South	1		SP94_3
Mnov1979	South	1		SP94_4
Mnov1980	South	1		SP94_5
Mnov1981	South	1		SP94_6
Mnov1982	South	1		SP94_7
Mnov1983	South	1		SP94_8
Mnov1984	South	1		SP94_9
Mnov1985	South	1		SP95_1
Mnov1986	South	1		SP95_2
Mnov1987	South	1		SP95_3
Mnov1988	South	1		SP95_4
Mnov1989	South	1		SP95_5
Mnov3402	North	2		
Mnov3403	North	2		
Mnov3404	North	2		
Mnov3405	North	2		
Mnov3406	North	2		
Mnov3407	North	2		
Mnov3408	North	2		
Mnov3409	North	2		
Mnov3410	North	2		
Mnov3411	North	2		
Mnov3412	North	2		
Mnov3413	North	2		
Mnov3414	North	2		
Mnov3415	North	2		
Mnov3416	North	2		
Mnov3417	North	2		
Mnov3418	North	2		
Mnov3419	North	2		
Mnov3420	North	2		
Mnov3421	North	2		
Mnov3422	North	2		
Mnov3423	North	2		
Mnov3424	North	2		
Mnov3425	North	2		
Mnov3426	North	2		
Mnov3427	North	2		
Mnov3428	North	2		
Mnov3429	North	2		
Mnov3430	North	2		
Mnov3431	North	2		
Mnov3432	North	2		
Mnov3433	North	2		
Mnov3434	North	2		
Mnov3435	North	2		
Mnov3436	North	2		
Mnov3437	North	2		
Mnov3438	North	2		
Mnov3439	North	2		
Mnov3440	North	2		
Mnov3441	North	2		
Mnov3442	North	2		
Mnov3443	North	2		
Mnov3444	North	2		
Mnov3445	North	2		
Mnov3446	North	2		
Mnov3447	North	2		
Mnov3448	North	2		
Mnov3449	North	2		
Mnov3450	North	2		
Mnov3451	North	2		
Mnov3452	North	2		
Mnov3453	North	2		
Mnov3454	North	2		
Mnov3455	North	2		
Mnov3456	North	2		
Mnov3457	North	2		
Mnov3458	North	2		
Mnov3459	North	2		
Mnov3460	North	2		
Mnov3461	North	2		
Mnov3462	North	2		
Mnov3463	North	2		
Mnov3464	North	2		
Mnov3465	North	2		
Mnov3466	North	2		
Mnov3467	North	2		
Mnov3468	North	2		
Mnov3469	North	2		
Mnov3470	North	2		
Mnov3471	North	2		
Mnov3472	North	2		
Mnov3473	North	2		
Mnov3474	North	2		
Mnov3475	North	2		
Mnov3476	North	2		
Mnov3477	North	2		
Mnov3478	North	2		
Mnov3479	North	2		
Mnov3480	North	2		
Mnov3481	North	2		
Mnov3482	North	2		
Mnov3483	North	2		
Mnov3484	North	2		
Mnov3485	North	2		
Mnov3486	North	2		
Mnov3487	North	2		
Mnov3488	North	2		
Mnov3489	North	2		
Mnov3490	North	2		
Mnov3491	North	2		
Mnov3492	North	2		
Mnov3493	North	2		
Mnov3494	North	2		
Mnov3495	North	2		
Mnov3496	North	2		
Mnov3497	North	2		
Mnov3498	North	2		
Mnov3499	North	2		
Mnov3500	North	2		
Mnov3501	North	2		
Mnov3502	North	2		
Mnov3503	North	2		
Mnov3504	North	2		
Mnov3505	North	2		
Mnov3506	North	2		
Mnov3507	North	2		
Mnov3508	North	2		
Mnov3509	North	2		
Mnov3510	North	2		
Mnov3511	North	2		
Mnov3512	North	2		
Mnov3513	North	2		
Mnov3514	North	2		
Mnov3515	North	2		
Mnov3516	North	2		
Mnov3517	North	2		
Mnov3518	North	2		
Mnov3519	North	2		
Mnov3520	North	2		
Mnov3521	North	2		
Mnov3522	North	2		
Mnov3523	North	2		
Mnov3524	North	2		
Mnov3525	North	2		
Mnov3526	North	2		
Mnov3527	North	2		
Mnov3528	North	2		
Mnov3529	North	2		
Mnov3530	North	2		
Mnov3531	North	2		
Mnov3532	North	2		
Mnov3533	North	2		
Mnov3534	North	2		
Mnov3535	North	2		
Mnov3536	North	2		
Mnov3537	North	2		
Mnov3538	North	2		
Mnov3539	North	2		
Mnov3540	North	2		
Mnov3541	North	2		
Mnov3542	North	2		
Mnov3543	North	2		
Mnov3544	North	2		
Mnov3545	North	2		
Mnov3546	North	2		
Mnov3547	North	2		
Mnov3548	North	2		
Mnov3549	North	2		
Mnov3550	North	2		
Mnov3551	North	2		
Mnov3552	North	2		
Mnov3553	North	2		
Mnov3554	North	2		
Mnov3555	North	2		
Mnov3556	North	2		
Mnov3557	North	2		
Mnov3558	North	2		
Mnov3559	North	2		
Mnov3560	North	2		
Mnov3561	North	2		
Mnov3562	North	2		
Mnov3563	North	2		
Mnov3564	North	2		
Mnov3565	North	2		
Mnov3566	North	2		
Mnov3567	North	2		
Mnov3568	North	2		
Mnov3569	North	2		
Mnov3570	North	2		
Mnov3571	North	2		
Mnov3572	North	2		
Mnov3573	North	2		
Mnov3574	North	2		
Mnov3575	North	2		
Mnov3576	North	2		
Mnov3577	North	2		
Mnov3578	North	2		
Mnov3579	North	2		
Mnov3580	North	2		
Mnov3581	North	2		
Mnov3582	North	2		
Mnov3583	North	2		
Mnov3584	North	2		
Mnov3585	North	2		
Mnov3586	North	2		
Mnov3587	North	2		
Mnov3588	North	2		
Mnov3589	North	2		
Mnov3590	North	2		
Mnov3591	North	2		
Mnov3592	North	2		
Mnov3593	North	2		
Mnov3594	North	2		
Mnov3595	North	2		
Mnov3596	North	2		
Mnov3597	North	2		
Mnov3598	North	2		
Mnov3599	North	2		
Mnov3600	North	2		
