Species	Eubalaena spp. (Eaus: E. australis; Egla: E. glacialis)			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	This study	South Atlantic	Winter breeding area	
2	Valenzuela, L. O., Sironi, M., Rowntree, V. J., & Seger, J. (2009). Isotopic and genetic evidence for culturally inherited site fidelity to feeding grounds in southern right whales (Eubalaena australis). Molecular Ecology, 18(5), 782–791. doi: 10.1111/j.1365-294X.2008.04069.x	Argentina	Winter breeding area	GenBank
3	Malik, S., Brown, M. W., Kraus, S. D., Knowlton, A. R., Hamilton, P. K., & White, B. N. (1999). Assessment of mitochondrial DNA structuring and nursery use in the North right whale (Eubalaena glacialis). Canadian Journal of Zoology, 77(8), 1217–1222. doi: 10.1139/z99-073	eastern US & Canadian sea border	Summer nursing & feeding area	GenBank
				
Migrate data file name	Eubalaena_750mtDNA_381bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Egla0045	North	3	AF395039	
Egla0046	North	3	AF395039	
Egla0047	North	3	AF395039	
Egla0048	North	3	AF395039	
Egla0049	North	3	AF395039	
Egla0050	North	3	AF395039	
Egla0051	North	3	AF395039	
Egla0052	North	3	AF395039	
Egla0053	North	3	AF395039	
Egla0054	North	3	AF395039	
Egla0055	North	3	AF395039	
Egla0056	North	3	AF395039	
Egla0057	North	3	AF395039	
Egla0058	North	3	AF395039	
Egla0059	North	3	AF395039	
Egla0060	North	3	AF395039	
Egla0061	North	3	AF395039	
Egla0062	North	3	AF395039	
Egla0063	North	3	AF395039	
Egla0064	North	3	AF395039	
Egla0065	North	3	AF395039	
Egla0066	North	3	AF395039	
Egla0067	North	3	AF395039	
Egla0068	North	3	AF395039	
Egla0069	North	3	AF395039	
Egla0070	North	3	AF395039	
Egla0071	North	3	AF395039	
Egla0072	North	3	AF395039	
Egla0073	North	3	AF395039	
Egla0074	North	3	AF395039	
Egla0075	North	3	AF395039	
Egla0076	North	3	AF395040	
Egla0077	North	3	AF395040	
Egla0078	North	3	AF395040	
Egla0079	North	3	AF395040	
Egla0080	North	3	AF395040	
Egla0081	North	3	AF395040	
Egla0082	North	3	AF395040	
Egla0083	North	3	AF395040	
Egla0084	North	3	AF395040	
Egla0085	North	3	AF395040	
Egla0086	North	3	AF395040	
Egla0087	North	3	AF395040	
Egla0088	North	3	AF395040	
Egla0089	North	3	AF395040	
Egla0090	North	3	AF395040	
Egla0091	North	3	AF395040	
Egla0092	North	3	AF395040	
Egla0093	North	3	AF395040	
Egla0094	North	3	AF395040	
Egla0095	North	3	AF395040	
Egla0096	North	3	AF395040	
Egla0097	North	3	AF395040	
Egla0098	North	3	AF395040	
Egla0099	North	3	AF395040	
Egla0100	North	3	AF395040	
Egla0101	North	3	AF395040	
Egla0102	North	3	AF395040	
Egla0103	North	3	AF395040	
Egla0104	North	3	AF395040	
Egla0105	North	3	AF395040	
Egla0106	North	3	AF395040	
Egla0107	North	3	AF395040	
Egla0108	North	3	AF395040	
Egla0109	North	3	AF395040	
Egla0110	North	3	AF395040	
Egla0111	North	3	AF395040	
Egla0112	North	3	AF395040	
Egla0113	North	3	AF395040	
Egla0114	North	3	AF395040	
Egla0115	North	3	AF395041	
Egla0116	North	3	AF395041	
Egla0117	North	3	AF395041	
Egla0118	North	3	AF395041	
Egla0119	North	3	AF395041	
Egla0120	North	3	AF395041	
Egla0121	North	3	AF395041	
Egla0122	North	3	AF395041	
Egla0123	North	3	AF395041	
Egla0124	North	3	AF395041	
Egla0125	North	3	AF395041	
Egla0126	North	3	AF395041	
Egla0127	North	3	AF395041	
Egla0128	North	3	AF395041	
Egla0129	North	3	AF395041	
Egla0130	North	3	AF395041	
Egla0131	North	3	AF395041	
Egla0132	North	3	AF395041	
Egla0133	North	3	AF395041	
Egla0134	North	3	AF395041	
Egla0135	North	3	AF395041	
Egla0136	North	3	AF395041	
Egla0137	North	3	AF395041	
Egla0138	North	3	AF395041	
Egla0139	North	3	AF395041	
Egla0140	North	3	AF395041	
Egla0141	North	3	AF395041	
Egla0142	North	3	AF395041	
Egla0143	North	3	AF395041	
Egla0144	North	3	AF395041	
Egla0145	North	3	AF395041	
Egla0146	North	3	AF395041	
Egla0147	North	3	AF395041	
Egla0148	North	3	AF395041	
Egla0149	North	3	AF395041	
Egla0150	North	3	AF395042	
Egla0151	North	3	AF395042	
Egla0152	North	3	AF395042	
Egla0153	North	3	AF395042	
Egla0154	North	3	AF395042	
Egla0155	North	3	AF395042	
Egla0156	North	3	AF395042	
